Gene	MYC_RNA
SNU840_OVARY	4.769906531
SNU8_OVARY	3.302788254
NCIH684_LIVER	6.244046424
IGR39_SKIN	3.320122661
ALEXANDERCELLS_LIVER	
DAOY_CENTRAL_NERVOUS_SYSTEM	3.744394213
HEP3B217_LIVER	5.802539932
KYM1_SOFT_TISSUE	4.891962676
LC1F_LUNG	6.476156825
HLE_LIVER	
CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.251435746
JMSU1_URINARY_TRACT	6.753196546
IMR32_AUTONOMIC_GANGLIA	-2.520922745
SUDHL8_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.353687711
T3M4_PANCREAS	5.702908228
COLO818_SKIN	
PK45H_PANCREAS	4.709905637
HEC59_ENDOMETRIUM	4.062087323
CPCN_LUNG	
T3M10_LUNG	5.309196688
NUGC2_STOMACH	5.189260534
PLCPRF5_LIVER	4.969362893
KPNYN_AUTONOMIC_GANGLIA	0.084007724
CCFSTTG1_CENTRAL_NERVOUS_SYSTEM	2.958804558
NCIH929_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.584727897
KMRC3_KIDNEY	5.701301596
NCIH2023_LUNG	5.488569431
DMS153_LUNG	-0.108789325
NCIH1048_LUNG	5.527266517
D341MED_CENTRAL_NERVOUS_SYSTEM	9.058233895
NCIH660_PROSTATE	3.647914111
NCIH1618_LUNG	-1.762874668
HS675T_LARGE_INTESTINE	2.661985502
PEER_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.729587865
SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.537526027
HT144_SKIN	3.676549615
SKMEL31_SKIN	2.189875974
HS839T_SKIN	3.206049861
HS939T_SKIN	4.494626733
OCILY3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.230233043
HS819T_BONE	3.039169573
NCIH69_LUNG	0.277266539
DV90_LUNG	7.655123636
ZR751_BREAST	5.467599331
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.899396386
SKNBE2_AUTONOMIC_GANGLIA	-2.233131447
HCC70_BREAST	4.656077293
NCIH2452_PLEURA	5.069796046
SNU1_STOMACH	5.662684346
LOUCY_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	-2.236482968
HCC56_LARGE_INTESTINE	6.75472086
NCIH1648_LUNG	6.335264809
TO175T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.578059598
GLC82_LUNG	
MPP89_PLEURA	5.765583953
PANC0813_PANCREAS	5.007458664
MG63_BONE	5.274305773
PK1_PANCREAS	5.637177735
HS840T_UPPER_AERODIGESTIVE_TRACT	4.397740428
NCIH23_LUNG	5.640105343
TE617T_SOFT_TISSUE	4.216110389
SW1088_CENTRAL_NERVOUS_SYSTEM	4.189342889
ISTMES2_PLEURA	5.767002064
NCIH1373_LUNG	5.228087795
NCIH1930_LUNG	5.291461189
NCIH1623_LUNG	4.723833087
HS229T_LUNG	3.775196619
NCIH1838_LUNG	5.967468852
NCIH1836_LUNG	-3.378151683
HS688AT_SKIN	3.254078097
PANC0504_PANCREAS	4.512089395
HS822T_BONE	3.103854612
BL70_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.490446709
CI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.15333988
G292CLONEA141B1_BONE	5.454673181
RCM1_LARGE_INTESTINE	6.73604306
HS737T_BONE	2.931464962
HS616T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.588110817
HS600T_SKIN	2.879589419
TE159T_SOFT_TISSUE	3.127650558
A101D_SKIN	2.831570805
NCIH1755_LUNG	4.719263366
143B_BONE	
RERFLCKJ_LUNG	3.483007805
NCIH1693_LUNG	3.845367247
SW780_URINARY_TRACT	4.817538888
HS683_CENTRAL_NERVOUS_SYSTEM	2.820379897
RKO_LARGE_INTESTINE	6.356557552
HS729_SOFT_TISSUE	3.936284687
JHOS2_OVARY	4.412612485
MCF7_BREAST	4.635758411
U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.120777658
SKLMS1_SOFT_TISSUE	5.245224239
HUTU80_SMALL_INTESTINE	5.522427801
HCC202_BREAST	0.822051742
MEG01_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.679908392
REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.66647552
ONS76_CENTRAL_NERVOUS_SYSTEM	4.902663358
RPMI6666_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
SNUC1_LARGE_INTESTINE	7.290185242
SKNDZ_AUTONOMIC_GANGLIA	-2.307400247
DMS114_LUNG	4.942488733
TT_OESOPHAGUS	5.530654228
OCILY10_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	
ST486_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.891556596
OC315_OVARY	
OC314_OVARY	5.429715125
SW1353_BONE	4.538516008
MDAMB157_BREAST	4.092387133
LN18_CENTRAL_NERVOUS_SYSTEM	1.631146297
769P_KIDNEY	5.889418366
786O_KIDNEY	4.875471429
